timestamp,event,engine,signal,entry,sl,tp2,lot,result,pnl,balance
2026-03-20T19:14:55.269488,OPEN,HSD,SHORT,4662.26,4680.00,4607.83,0.50,,,9365.01
2026-03-20T19:31:00.097733,CLOSE,,,,,,,WIN,,9365.01
2026-03-23T14:01:45.802503,OPEN,ICT,SHORT,4243.81,4274.68,4165.59,0.21,,,11167.75
2026-03-23T14:27:13.203111,CLOSE,,,,,,,WIN,,11167.75
2026-03-23T14:29:45.868523,OPEN,ICT,SHORT,4252.97,4286.93,4170.08,0.20,,,11460.07
2026-03-23T14:46:37.279184,CLOSE,,,,,,,LOSS,,11460.07
2026-04-10T06:01:26.994879,OPEN,,,4757.20,4753.20,4771.20,0.50,,,10847.87
2026-04-10T06:01:53.198113,CLOSE,,,,,,,WIN,,10844.87
2026-04-10T06:02:12.984942,OPEN,,,4756.69,4760.69,4742.69,0.50,,,10844.87
2026-04-10T06:02:37.077478,CLOSE,,,,,,,LOSS,,10844.87
2026-04-10T06:02:46.479076,OPEN,,,4757.54,4753.52,4771.52,0.50,,,10797.37
2026-04-10T06:05:30.180373,CLOSE,,,,,,,WIN,,10899.87
2026-04-10T06:06:46.113198,OPEN,,,4760.35,4756.30,4774.30,0.50,,,10899.87
2026-04-10T06:08:13.713955,CLOSE,,,,,,,LOSS,,10899.87
2026-04-10T06:10:40.280717,OPEN,,,4760.16,4764.16,4746.16,0.50,,,10851.37
2026-04-10T06:39:53.443976,OPEN,,,4759.71,4755.71,4773.71,0.50,,,10918.87
2026-04-10T06:40:00.508565,OPEN,,,4759.18,4763.19,4745.19,0.50,,,10896.37
2026-04-10T06:55:57.344040,OPEN,,,4759.76,4763.55,4745.55,0.50,,,10828.87
2026-04-10T14:54:01.103876,OPEN,,,4756.60,4760.46,4742.46,0.50,,,10831.87
